name,genotype,farm,cell,longitude,latitude,X_epsg102022,Y_epsg102022,tick,cape,cattle,bio5,ECF
550,0,61,47,1.3229785818310873,-0.4326587097788145,1.318772317089744,-0.4368100441996834,2.3629143763272134,-0.3246684998604455,0.700189590667282,-0.0566811379246213,1
551,0,61,47,1.3229785818310873,-0.4326587097788145,1.318772317089744,-0.4368100441996834,2.3629143763272134,-0.3246684998604455,0.700189590667282,-0.0566811379246213,1
27,0,67,2,-1.5500016677541693,-0.8980092947417256,-1.5500544322674288,-0.8951160074094624,0.5425387667853832,0.1131938665958523,-0.7953751757300029,-0.1292559033650668,1
28,0,67,2,-1.5500016677541693,-0.8980092947417256,-1.5500544322674288,-0.8951160074094624,0.5425387667853832,0.1131938665958523,-0.7953751757300029,-0.1292559033650668,1
77,1,68,7,-1.083601012219377,-1.239971908442872,-1.0855497579570232,-1.2388977333386937,-0.3867434176785535,3.035817526117244,0.674558807342722,-1.1716081481541474,1
78,0,68,7,-1.083601012219377,-1.239971908442872,-1.0855497579570232,-1.2388977333386937,-0.3867434176785535,3.035817526117244,0.674558807342722,-1.1716081481541474,1
79,0,69,7,-1.2460543196034848,-1.0735973480549084,-1.2471988817467334,-1.0717514218701414,-0.3114840384383526,-0.2442990178521252,-0.2019034849106674,-1.1599331224335496,1
82,0,70,7,-1.2157652443532412,-1.0714341801507263,-1.2169723945429105,-1.0696484645890014,0.4234713310075647,-0.0227540719850014,0.4979384271517212,-1.0186642228053862,1
85,0,71,7,-1.220544095259117,-1.085840732724705,-1.2217771926812722,-1.084079882509334,-0.3114817269487935,-0.1034644531331229,0.4343994233723377,-1.1113868047098272,1
86,0,71,7,-1.220544095259117,-1.085840732724705,-1.2217771926812722,-1.084079882509334,-0.3114817269487935,-0.1034644531331229,0.4343994233723377,-1.1113868047098272,1
167,0,73,15,-0.8968943459025636,-1.3303879568015018,-0.899533520888727,-1.329974346659114,-0.4227072120208648,-0.1676554304821531,1.0207527904037397,-1.1485123782000006,1
168,0,73,15,-0.8968943459025636,-1.3303879568015018,-0.899533520888727,-1.329974346659114,-0.4227072120208648,-0.1676554304821531,1.0207527904037397,-1.1485123782000006,1
